"Processor","Transistor.count","Date.of.introduction","Designer","Process","Area"
"Quad-core + GPU Core i7 Haswell",1.4e+09,2014,"Intel",22,177
"Dual-core Itanium 2",1.7e+09,2006,"Intel",90,596
"Quad-core + GPU GT2 Core i7 Skylake K",1.75e+09,2015,"Intel",14,122
"Six-core Core i7 Ivy Bridge E",1.86e+09,2013,"Intel",22,256
"Duo-core + GPU Iris Core i7 Broadwell-U",1.9e+09,2015,"Intel",14,133
"Six-core Xeon 7400",1.9e+09,2008,"Intel",45,503
"Quad-core Itanium Tukwila",2e+09,2010,"Intel",65,699
"Apple A8 (dual-core ARM64 mobile SoC)",2e+09,2014,"Apple",20,89
"8-core POWER7+ 80 MB L3 cache",2.1e+09,2012,"IBM",32,567
"Six-core Core i7/8-core Xeon E5 (Sandy Bridge-E/EP)",2.27e+09,2011,"Intel",32,434
"8-core Xeon Nehalem-EX",2.3e+09,2010,"Intel",45,684
"8-core Core i7 Haswell-E",2.6e+09,2014,"Intel",22,355
"10-core Xeon Westmere-EX",2.6e+09,2011,"Intel",32,512
"Six-core zEC12",2.75e+09,2012,"IBM",32,597
"Apple A8X (tri-core ARM64 ""mobile SoC"")",3e+09,2014,"Apple",20,128
"8-core Itanium Poulson",3.1e+09,2012,"Intel",32,544
"IBM z13",3.99e+09,2015,"IBM",22,678
"12-core POWER8",4.2e+09,2013,"IBM",22,650
"15-core Xeon Ivy Bridge-EX",4.31e+09,2014,"Intel",22,541
"61-core Xeon Phi",5e+09,2012,"Intel",22,350
"Xbox One main SoC",5e+09,2013,"Microsoft/AMD",28,363
"18-core Xeon Haswell-E5",5.56e+09,2014,"Intel",22,661
"IBM z13 Storage Controller",7.1e+09,2015,"IBM",22,678
"22-core Xeon Broadwell-E5",7.2e+09,2016,"Intel",14,456
"SPARC M7",1e+10,2015,"Oracle",20,NA
